Nom aeroport;Code OACI;Code IATA;latitude_centre;longitude_centre;Ville desservie
AGEN-LA-GARENNE;LFBA;AGF;44.175;0.590556;Agen
AJACCIO-NAPOLEON-BONAPARTE;LFKJ;AJA;41.924167;8.8025;Ajaccio
ALBI-LE-SEQUESTRE;LFCI;LBI;43.913333;2.116667;Albi
ANGERS-MARCE;LFJR;ANE;47.559999999999995;-0.3100001;Angers
ANGOULEME-BRIE-CHAMPNIERS;LFBU;ANG;45.729722;0.218889;Angoulême
ANNECY-MEYTHET;LFLP;NCY;45.929444;6.098889;Annecy
AURILLAC;LFLW;AUR;44.89972222222222;2.419722222222222;Aurillac
AUXERRE-BRANCHES;LFLA;AUF;47.846389;3.496667;Auxerre
AVIGNON-CAUMONT;LFMV;AVN;43.90972222222222;4.9;Avignon
BASTIA-PORETTA;LFKB;BIA;42.54972222222222;9.48;Bastia
BEAUVAIS-TILLE;LFOB;BVA;49.455;2.112778;Beauvais
BERGERAC-ROUMANIERE;LFBE;EGC;44.824444;0.520556;Bergerac
BEZIERS-VIAS;LFMU;BZR;43.32;3.35;Béziers
BIARRITZ-BAYONNE-ANGLET;LFBZ;BIQ;43.469722222222224;-1.53;Biarritz
BORDEAUX-MERIGNAC;LFBD;BOD;44.82972222222222;-0.7197223222222222;Bordeaux
BOURGES;LFLD;BOU;47.061111;2.370556;Bourges
BREST-BRETAGNE;LFRB;BES;48.45;-4.419722222222222;Brest
BRIVE-VALLEE-DE-DORDOGNE-;LFSL;BVE;45.04111111111111;1.4830555555555556;Brive-la-Gaillarde
CAEN-CARPIQUET;LFRK;CFR;49.169999999999995;-0.449722;Caen
CAHORS-LALBENQUE;LFCC;ZAO;44.350556;1.478611;Cieurac 
CALAIS-DUNKERQUE;LFAC;CQF;50.960833;1.951389;Calais
CALVI-ST-CATHERINE;LFKC;CLY;42.520556;8.792778;Calvi
CANNES-MANDELIEU;LFMD;JCA;43.546944;6.954167;Cannes
CARCASSONNE-SALVAZA;LFMK;CCF;43.216111;2.308333;Carcassonne
CASTRES-MAZAMET;LFCK;DCM;43.556944;2.289167;Castres
CHALONS-VATRY;LFOK;XCR;48.77333333333333;4.206111111111111;Vatry
CHAMBERY-AIX-LES-BAINS;LFLB;CMF;45.64;5.879722222222223;Chambéry
CHATEAUROUX-DEOLS;LFLX;CHR;46.859722222222224;1.7197222222222224;Châteauroux
CHERBOURG-MAUPERTUS;LFRC;CER;49.64972222222222;-1.4797222222222224;Cherbourg-Octeville
CHOLET-LE-PONTREAU;LFOU;CET;47.07972222222222;-0.8897223222222221;Cholet
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE;LFLC;CFE;45.78972222222222;3.1599999999999997;Clermont-Ferrand
COLMAR-HOUSSEN;LFGA;CMR;48.109722222222224;7.359999999999999;Colmar
DEAUVILLE-ST-GATIEN;LFRG;DOL;49.359722222222224;0.16;Deauville
DIJON-LONGVIC;LFSD;DIJ;47.266389;5.095;Dijon
DINARD-PLEURTUIT-ST-MALO;LFRD;DNR;48.59;-2.08;Dinard
DOLE-TAVAUX;LFGJ;DLE;47.03972222222222;5.429722222222223;Dole
EPINAL-MIRECOURT;LFSG;EPL;48.325278;6.066667;Mirecourt
FIGARI-SUD-CORSE;LFKF;FSC;41.5;9.099722222222223;Figari
GRENOBLE-ISERE;LFLS;GNB;45.359722222222224;5.33;Grenoble
ILE-D'YEU-LE-GRAND-PHARE;LFEY;IDY;46.716389;-2.391111;L'Île-d'Yeu
LA-ROCHELLE-ILE-DE-RE;LFBH;LRH;46.17972222222222;-1.2;La Rochelle
LANNION;LFRO;LAI;48.755556;-3.474444;Lannion
LAVAL-ENTRAMMES;LFOV;LVA;48.03;-0.7397223222222221;Laval
LE-HAVRE-OCTEVILLE-SUR-MER;LFOH;LEH;49.534167;0.088056;Le Havre
LE-MANS-ARNAGE;LFRM;LME;47.95;0.2;Le Mans
LE-PUY-LOUDES;LFHP;LPY;45.07972222222222;3.7597222222222224;Le Puy
LE-TOUQUET-PARIS-PLAGE;LFAT;LTQ;50.514722;1.624722;Le Touquet-Paris-Plage
LILLE-LESQUIN;LFQQ;LIL;50.563333;3.086944;Lille
LIMOGES-BELLEGARDE;LFBL;LIG;45.859722222222224;1.1797222222222223;Limoges
LORIENT-LANN-BIHOUE;LFRH;LRT;47.75972222222222;-3.4397222222222226;Lorient
LYON-BRON-BRON;LFLY;LYN;45.72972222222222;4.94;Lyon
LYON-SAINT-EXUPERY;LFLL;LYS;45.72972222222222;5.08;Lyon
MARSEILLE-PROVENCE;LFML;MRS;43.439722222222215;5.209722222222222;Marseille
MEGEVE-MEGEVE;LFHM;MVV;45.822222;6.65;Megève
METZ-NANCY-LORRAINE;LFJL;ETZ;48.97972222222222;6.25;Nancy
MONTLUCON-GUERET;LFBK;MCU;46.22972222222222;2.3597222222222225;Montluçon
MONTPELLIER-MEDITERRANEE;LFMT;MPL;43.57972222222222;3.9597222222222226;Montpellier
MORLAIX-PLOUJEAN;LFRU;MXN;48.6;-3.819722222222222;Morlaix
BALE-MULHOUSE;LFSB;MLH;47.59;7.53;Mulhouse
NANTES-ATLANTIQUE;LFRS;NTE;47.15972222222222;-1.61;Nantes
NICE-COTE-D'AZUR;LFMN;NCE;43.665556;7.214722;Nice
NIMES-GARONS-;LFTW;FNI;43.75972222222222;4.419722222222222;Nîmes
NIORT-SOUCHE;LFBN;NIT;46.313333;-0.394444;Niort
PARIS-CHARLES-DE-GAULLE;LFPG;CDG;49.00972222222222;2.55;Paris
PARIS-LE-BOURGET;LFPB;LBG;48.969722222222224;2.4397222222222226;Paris
PARIS-ORLY;LFPO;ORY;48.719722222222224;2.379722222222222;Paris
PAU-PYRENEES;LFBP;PUF;43.38;-0.42000010000000004;Pau
