Centrale,Combustible,Sous-filière,Date de mise en service industrielle,Puissance installée (MW),Puissance minimum de conception (MW),Réserve secondaire maximale (MW),Région,Département,Commune,latitude_centre,longitude_centre
BELLEVILLE 1,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1988-06-01,1310,260,60,CENTRE-VAL DE LOIRE,CHER,Belleville-sur-Loire,47.508946,2.875676
BELLEVILLE 2,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1989-01-01,1310,260,60,CENTRE-VAL DE LOIRE,CHER,Belleville-sur-Loire,47.508946,2.875676
BLAYAIS 1,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1981-12-01,910,180,40,NOUVELLE-AQUITAINE,GIRONDE,Braud-et-Saint-Louis,45.257605,-0.690606
BLAYAIS 2,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1983-02-01,910,180,40,NOUVELLE-AQUITAINE,GIRONDE,Braud-et-Saint-Louis,45.257605,-0.690606
BLAYAIS 3,Uranium Enrichi,Réacteur à eau pressurisée (REP) 900,1983-11-14,910,180,40,NOUVELLE-AQUITAINE,GIRONDE,Braud-et-Saint-Louis,45.257605,-0.690606
BLAYAIS 4,Uranium Enrichi,Réacteur à eau pressurisée (REP) 900,1983-10-01,910,180,40,NOUVELLE-AQUITAINE,GIRONDE,Braud-et-Saint-Louis,45.257605,-0.690606
BUGEY 2,Uranium Enrichi,Réacteur à eau pressurisée (REP) 900,1979-03-01,910,180,25,AUVERGNE-RHONE-ALPES,AIN,Saint-Vulbas,45.801148,5.266072
BUGEY 3,Uranium Enrichi,Réacteur à eau pressurisée (REP) 900,1979-03-01,910,180,25,AUVERGNE-RHONE-ALPES,AIN,Saint-Vulbas,45.801148,5.266072
BUGEY 4,Uranium Enrichi,Réacteur à eau pressurisée (REP) 900,1979-07-01,880,180,25,AUVERGNE-RHONE-ALPES,AIN,Saint-Vulbas,45.801148,5.266072
BUGEY 5,Uranium Enrichi,Réacteur à eau pressurisée (REP) 900,1980-01-03,880,180,25,AUVERGNE-RHONE-ALPES,AIN,Saint-Vulbas,45.801148,5.266072
